book,abbrev,tokens,chars,delta_vanilla,delta_matched_wiki
1 Peter,1PE,3437,13891,19.650000000000006,13.349999999999994
2 Timothy,2TI,2404,9535,19.5,12.899999999999991
1 Timothy,1TI,3249,13172,19.40000000000002,12.200000000000017
2 Corinthians,2CO,8370,33137,18.55000000000001,11.500000000000014
Romans,ROM,13139,51975,18.500000000000014,12.900000000000006
1 Corinthians,1CO,13073,50808,18.35000000000001,11.049999999999997
1 Thessalonians,1TH,2577,10067,17.450000000000017,10.600000000000009
1 John,1JN,3455,13182,17.349999999999994,10.399999999999977
Nehemiah,NEH,15594,58796,17.05000000000001,10.25
2 Peter,2PE,2104,8948,17.0,10.349999999999994
Titus,TIT,1331,5312,16.90000000000002,11.700000000000017
Colossians,COL,2810,11118,16.900000000000006,10.450000000000003
Isaiah,ISA,50552,199284,16.849999999999994,9.999999999999986
Philippians,PHP,3006,11996,16.75,10.249999999999986
Proverbs,PRO,21929,83739,16.549999999999997,11.799999999999997
Hosea,HOS,7214,27919,16.5,10.499999999999986
Zechariah,ZEC,8559,33856,16.299999999999997,10.199999999999989
Micah,MIC,4229,16749,16.150000000000006,9.900000000000006
Deuteronomy,DEU,37711,150507,16.10000000000001,9.416666666666671
Hebrews,HEB,9411,38448,15.950000000000003,8.099999999999994
Amos,AMO,5780,22435,15.800000000000011,8.000000000000014
Exodus,EXO,44189,174306,15.75,8.850000000000009
Ephesians,EPH,4182,16926,15.600000000000023,8.15000000000002
Leviticus,LEV,32700,130421,15.549999999999997,8.049999999999983
Daniel,DAN,15621,63330,15.399999999999991,9.699999999999989
Psalms,PSA,61481,234044,14.950000000000017,9.650000000000006
Revelation,REV,15968,63810,14.650000000000006,9.849999999999994
Joshua,JOS,26462,102908,14.599999999999994,5.59999999999998
Ezra,EZR,10771,41508,14.550000000000011,8.600000000000009
Zephaniah,ZEP,2194,8722,14.5,9.250000000000014
Ezekiel,EZK,52527,210633,14.200000000000003,8.299999999999997
Galatians,GAL,4297,16851,14.100000000000009,6.450000000000003
2 Kings,2KI,32351,123705,13.950000000000003,6.099999999999994
James,JAS,3288,12567,13.75,6.0
Malachi,MAL,2409,9421,13.700000000000003,7.799999999999997
John,JHN,26672,101537,13.650000000000006,5.999999999999986
2 Chronicles,2CH,35574,142647,13.600000000000009,9.400000000000006
1 Kings,1KI,33608,130341,13.5,7.1499999999999915
Luke,LUK,35814,139267,13.200000000000017,5.900000000000006
1 Chronicles,1CH,32271,115052,13.149999999999991,5.699999999999989
Joel,JOL,2773,11003,13.100000000000009,7.049999999999997
2 Thessalonians,2TH,1395,5658,13.000000000000014,4.500000000000014
Matthew,MAT,33086,128779,12.700000000000003,6.349999999999994
Numbers,NUM,45496,180897,12.450000000000017,5.500000000000014
1 Samuel,1SA,34050,132765,12.40000000000002,5.950000000000017
Obadiah,OBA,915,3662,12.300000000000011,9.800000000000011
Mark,MRK,21046,81820,12.300000000000011,6.700000000000003
Job,JOB,25972,98451,12.250000000000014,4.800000000000011
2 Samuel,2SA,28770,109417,12.050000000000011,5.8500000000000085
Acts,ACT,33290,133854,11.850000000000009,6.450000000000017
Lamentations,LAM,4712,18733,11.800000000000011,3.4000000000000057
Genesis,GEN,53495,203120,11.750000000000014,5.300000000000011
Habakkuk,HAB,2053,8154,11.750000000000014,4.750000000000014
Nahum,NAM,1815,7097,11.400000000000006,4.150000000000006
Esther,EST,7727,30908,10.900000000000006,5.5
Jeremiah,JER,58306,229399,10.600000000000009,4.700000000000003
Jonah,JON,1784,6819,10.050000000000011,3.200000000000003
Haggai,HAG,1578,5887,9.650000000000006,1.3499999999999943
Judges,JDG,26353,101210,9.25,1.4499999999999886
Ruth,RUT,3532,13331,9.0,2.450000000000003
Song of Solomon,SNG,3836,14267,8.75,1.4999999999999858
Ecclesiastes,ECC,7510,29336,7.90000000000002,4.1000000000000085
3 John,3JN,427,1648,7.900000000000006,6.8999999999999915
Jude,JUD,862,3620,7.700000000000003,2.6500000000000057
2 John,2JN,416,1604,6.5,6.499999999999986
Philemon,PHM,629,2421,4.0,0.4999999999999858
